name,nb of layers,w,h1,h2,h3,h4,h,s,E1,G12,G23,A11,A12,A22,A33,A33/A33*,D11,D12,D22,D33,D33/D33*,f11,f11/f11*,f12,f12/f11*,f16,f16/f11*,f22,f22/f11*,f26,f26/f11*,f33,f33/f22*,f34,f34/f22*,f35,f35/f22*,f44,f44/f22*,f45,f45/f22*,f55,f55/f22*,f66,f66/f11*,f11(RM),f22(RM),Delta,K(teta),alpha*(n),A33 (closed-form),J,D33 (closed-form),alpha(3),f11(RM) (closed-form),f22(RM) (closed-form)
l3w60h20h30h20h0s50E8000GL800GT50,3,60,20,30,0,0,23.33333333,50,8000,800,50,176653.4241,1659.688268,132934.3894,9333.690579,0.849295321,115273296.1,422101.1066,10400030.38,5176603.335,1.143691149,0.000609999,0.935585115,6.91E-06,1.06E-02,0.000455095,0.698001507,2.11E-07,1.06E-02,6.22E-06,9.54E-03,0.000198153,1.681299112,8.78E-07,7.45E-03,5.02E-05,0.4261,5.28E-09,4.48E-05,-1.17E-08,-9.95E-05,8.70E-05,7.38E-01,0.000382664,0.586910195,0.000642192,1.14E-04,1.67E-01,78685714.29,7.01E-05,10989.92346,191944.5703,4526224.879,7.41E-05,0.000651997,0.000117857
l3w120h30h20h30h0s6E11000GL600GT150,3,120,30,20,0,0,26.66666667,6,11000,600,150,638825.9088,9587.873829,223242.5457,52987.91635,0.98636492,441546991.9,3232465.666,13318073.31,26183951.93,1.065522353,6.27E-05,0.811759848,1.79E-06,2.32E-02,4.48E-05,0.580813936,2.12E-07,2.32E-02,1.47E-06,1.90E-02,5.68E-05,0.721722245,2.44E-07,3.10E-03,4.96E-05,0.6301,2.30E-09,2.92E-05,4.26E-08,5.41E-04,6.97E-05,8.85E-01,3.25E-05,0.42157467,6.33E-05,7.48E-05,1.41E-01,972000000,1.94E-05,53720.3983,652347.5065,24573817.58,3.76E-06,7.72E-05,0.00007875
l3w120h40h40h40h0s50E8000GL400GT100,3,120,40,40,0,0,40,50,8000,400,100,458369.8602,5269.041372,232506.1802,22102.90048,1.150463245,785349680.9,3479051.968,36308701.45,26370552.56,1.245361394,0.000127465,0.972940294,2.07E-06,1.58E-02,8.93E-05,0.681620303,1.67E-07,1.58E-02,1.79E-06,1.36E-02,0.000117137,1.10247026,3.95E-07,3.72E-03,5.04E-05,0.4745,2.30E-09,2.16E-05,-6.83E-08,-6.43E-04,9.13E-05,8.60E-01,6.58E-05,0.502092413,0.000127396,9.83E-05,2.92E-01,432000000,4.71E-05,19212.17438,2022953.086,21175020.11,3.33E-05,0.00013101,0.00010625
l3w120h40h40h40h0s2E11000GL400GT150,3,120,40,40,0,0,40,2,11000,400,150,880598.4456,12038.55132,447867.9065,53704.92233,1.100233684,1505562526,7973566.163,71886242.02,55001840.93,1.274774195,5.23E-05,0.952105659,1.05E-06,1.91E-02,3.89E-05,0.708081009,7.86E-08,1.91E-02,9.04E-07,1.65E-02,3.10E-05,0.406092838,7.75E-08,1.02E-03,2.67E-05,0.3498,9.76E-10,1.28E-05,-1.02E-07,-1.34E-03,6.19E-05,8.11E-01,2.94E-05,0.534760658,5.42E-05,5.11E-05,1.62E-01,475200000,1.69E-05,48812.28699,2022953.086,43146340.08,1.25E-06,5.49E-05,0.00007625
l3w60h20h30h20h0s50E11000GL800GT150,3,60,20,30,0,0,23.33333333,50,11000,800,150,243475.3798,2697.31916,183291.6417,12965.83537,1.119101575,158564980.3,710428.1265,14567038.77,6400149.622,1.354086273,0.000275491,1.147532062,2.73E-06,1.14E-02,0.000204133,0.850297787,1.26E-07,1.14E-02,2.57E-06,1.07E-02,0.000133502,1.132745836,5.71E-07,4.85E-03,4.64E-05,0.3941,3.84E-09,3.26E-05,-5.81E-08,-4.93E-04,8.54E-05,7.25E-01,0.000171535,0.714511296,0.000288865,9.68E-05,2.06E-01,87942857.14,6.92E-05,11585.93255,191944.5703,4726544.942,6.85E-05,0.000240073,0.000117857
l3w240h20h30h20h0s6E11000GL800GT100,3,240,20,30,0,0,23.33333333,6,11000,800,100,443921.4626,12401.86701,338303.0947,86731.18065,1.037251118,285369708.9,4431133.977,32571056.28,35389448.66,1.006052699,0.000123194,1.103927865,2.09E-06,1.87E-02,9.22E-05,0.826571978,9.88E-08,1.87E-02,1.73E-06,1.55E-02,3.71E-05,0.562662689,4.20E-07,6.38E-03,2.86E-05,0.4343,1.03E-08,1.57E-04,-8.88E-09,-1.35E-04,4.31E-05,6.54E-01,6.97E-05,0.624841111,0.000128226,4.54E-05,8.64E-02,21328457143,1.50E-05,83616.3771,954048.6116,35176535.67,1.61E-06,0.000111596,6.59E-05
l3w240h30h30h30h0s50E8000GL600GT150,3,240,30,30,0,0,30,50,8000,600,150,407099.9789,9182.931212,211730.3249,52076.26273,1.165596743,390202509.8,5264677.119,25243490,40688919.41,1.243360466,8.87E-05,1.006588084,1.12E-06,1.27E-02,6.39E-05,0.724643742,2.64E-07,1.27E-02,1.15E-06,1.31E-02,9.29E-05,1.153629841,7.80E-07,9.68E-03,6.45E-05,0.8007,1.07E-08,1.33E-04,2.30E-07,2.86E-03,7.12E-05,8.84E-01,4.71E-05,0.534600112,9.00E-05,9.28E-05,2.56E-01,13824000000,2.78E-05,44677.76959,1989903.461,32724958.3,1.63E-05,8.81E-05,8.06E-05
l3w180h20h40h20h0s6E14000GL800GT100,3,180,20,40,0,0,26.66666667,6,14000,800,100,561504.9361,15367.06291,560784.2053,88161.76483,1.027975228,511321919.5,7404048.654,85270117.88,48491324.53,1.122190805,0.000119154,1.202831978,1.34E-06,1.36E-02,9.08E-05,0.916233533,3.68E-08,1.36E-02,1.13E-06,1.14E-02,2.47E-05,0.425698144,2.36E-07,4.06E-03,1.98E-05,0.3412,6.35E-09,1.09E-04,-8.16E-08,-1.40E-03,3.46E-05,5.95E-01,7.01E-05,0.707193854,0.000125573,3.33E-05,7.29E-02,5904900000,1.36E-05,85762.5383,1031589.448,43211300.87,1.88E-06,9.91E-05,0.000058125
l3w120h30h30h30h0s6E8000GL400GT150,3,120,30,30,0,0,30,6,8000,400,150,466817.1287,8245.775484,239516.8153,41364.89393,1.060579135,447934250.4,3787509.579,24239223.97,25684528.89,1.16651936,7.24E-05,0.941998134,1.31E-06,1.70E-02,5.31E-05,0.691139441,1.17E-07,1.70E-02,1.14E-06,1.48E-02,4.63E-05,0.44132545,1.97E-07,1.88E-03,4.05E-05,0.3856,3.37E-09,3.21E-05,-1.42E-07,-1.35E-03,7.73E-05,7.36E-01,3.96E-05,0.515240883,7.43E-05,7.01E-05,1.23E-01,633600000,2.58E-05,39002.17587,909955.3711,22018090.54,5.01E-06,7.68E-05,0.000105
l3w240h40h40h40h0s2E8000GL800GT150,3,240,40,40,0,0,40,2,8000,800,150,650018.4982,13841.28289,336652.6767,138070.2367,0.995292223,1107890265,13413466.39,68183343.75,155145828.9,1.035239642,4.40E-05,0.974798978,7.84E-07,1.74E-02,3.25E-05,0.720262719,6.17E-08,1.74E-02,6.72E-07,1.49E-02,2.27E-05,0.6009475,1.60E-07,4.22E-03,1.93E-05,0.5111,2.89E-09,7.64E-05,4.84E-10,1.28E-05,2.88E-05,7.61E-01,2.43E-05,0.537222305,4.54E-05,3.00E-05,1.06E-01,13132800000,8.13E-06,138723.3152,4582434.568,149864652.2,3.13E-07,4.52E-05,3.78E-05
l3w120h40h30h40h0s2E11000GL400GT100,3,120,40,30,0,0,36.66666667,2,11000,400,100,877884.8869,10266.30181,337952.989,48249.72642,1.047138106,1178569060,5001534.114,33513505.02,40595611.21,1.169041009,6.89E-05,0.862209466,2.11E-06,2.64E-02,5.04E-05,0.630427612,1.83E-07,2.64E-02,1.71E-06,2.14E-02,4.97E-05,0.596952987,1.39E-07,1.67E-03,3.64E-05,0.4382,1.06E-09,1.27E-05,-7.13E-08,-8.57E-04,7.50E-05,9.02E-01,3.73E-05,0.466434131,7.06E-05,6.73E-05,1.63E-01,471272727.3,1.84E-05,46077.71042,1592546.101,34725566.43,1.36E-06,7.99E-05,8.32E-05
l3w120h30h30h30h0s6E11000GL400GT150,3,120,30,30,0,0,30,6,11000,400,150,641246.1376,10693.37022,328351.1534,41432.07861,1.062297309,615658888.9,4755264.313,32391504.43,25713511.52,1.167833052,7.13E-05,0.928142617,1.32E-06,1.71E-02,5.23E-05,0.680293183,1.05E-07,1.71E-02,1.13E-06,1.48E-02,4.40E-05,0.419060578,1.70E-07,1.62E-03,3.91E-05,0.3723,2.84E-09,2.70E-05,-1.48E-07,-1.41E-03,7.84E-05,7.47E-01,3.89E-05,0.506725577,7.32E-05,6.92E-05,1.28E-01,633600000,2.58E-05,39002.33792,909955.3711,22018139.91,5.01E-06,7.68E-05,0.000105
l3w120h30h30h30h0s50E14000GL400GT150,3,120,30,30,0,0,30,50,14000,400,150,602600.3311,8021.272675,306943.7874,20919.29024,1.221838599,580137443.6,3461061.039,28611917.77,15710227.56,1.363375508,0.000124762,0.980835699,1.62E-06,1.28E-02,8.77E-05,0.689086431,1.80E-07,1.28E-02,1.38E-06,1.08E-02,0.000137404,0.969909374,5.97E-07,4.21E-03,7.09E-05,0.5006,4.78E-09,3.37E-05,-8.45E-08,-5.97E-04,0.00011566,8.16E-01,6.36E-05,0.500177029,0.000124681,1.27E-04,2.86E-01,633600000,6.27E-05,17121.1568,909955.3711,11523037.83,4.44E-05,0.0001272,0.000141667
l3w240h40h40h40h0s6E14000GL800GT100,3,240,40,40,0,0,40,6,14000,800,100,1116087.781,20485.76487,574152.4479,125115.4186,0.973213047,1904777221,18369483.4,107761803.4,141044908,1.008334148,6.29E-05,0.966518322,1.30E-06,1.99E-02,4.64E-05,0.712755014,7.07E-08,1.99E-02,1.06E-06,1.62E-02,2.93E-05,0.763494428,1.97E-07,5.11E-03,2.12E-05,0.5524,2.65E-09,6.88E-05,5.84E-09,1.52E-04,3.08E-05,8.02E-01,3.45E-05,0.530034939,6.48E-05,3.36E-05,1.26E-01,12441600000,8.75E-06,128559.1259,4582434.568,139879134.6,9.39E-07,6.51E-05,3.84E-05
l3w120h40h40h40h0s2E8000GL400GT100,3,120,40,40,0,0,40,2,8000,400,100,640288.817,8628.758641,325551.3679,52294.87557,1.112295623,1094905038,5676872.445,52045178.39,53192881.78,1.293582861,7.20E-05,0.982860521,1.65E-06,2.26E-02,5.40E-05,0.737397587,1.01E-07,2.26E-02,1.38E-06,1.89E-02,3.95E-05,0.517586514,1.22E-07,1.60E-03,2.88E-05,0.3772,1.19E-09,1.56E-05,-8.85E-08,-1.16E-03,6.27E-05,8.22E-01,4.11E-05,0.560415275,7.51E-05,5.47E-05,1.49E-01,432000000,1.69E-05,47015.26687,2022953.086,41120583.28,1.25E-06,7.33E-05,0.00007625
l3w120h40h30h40h0s50E11000GL400GT100,3,120,40,30,0,0,36.66666667,50,11000,400,100,628687.4574,6226.195064,241043.4879,20420.92069,1.099005168,845446800.6,3034521.841,23047605.24,21251775.97,1.210470872,0.000120569,0.84449333,2.62E-06,1.84E-02,8.11E-05,0.568180285,3.07E-07,1.84E-02,2.03E-06,1.43E-02,0.000172096,1.484749021,5.03E-07,4.34E-03,7.72E-05,0.6659,2.24E-09,1.93E-05,-6.14E-09,-5.30E-05,0.000115592,9.97E-01,5.66E-05,0.396266099,0.000117145,1.38E-04,3.74E-01,471272727.3,5.13E-05,18581.27813,1592546.101,17556619.06,3.60E-05,0.000142771,0.000115909
l3w120h20h40h20h0s2E11000GL400GT100,3,120,20,40,0,0,26.66666667,2,11000,400,100,446262.5574,10468.48735,445490.9454,43558.38538,1.077053855,407759179.9,4875592.126,65927881.86,23625930.54,1.317186816,0.000126257,1.148679788,1.29E-06,1.17E-02,9.62E-05,0.874899791,3.29E-08,1.17E-02,1.11E-06,1.01E-02,3.30E-05,0.288417792,1.50E-07,1.31E-03,3.49E-05,0.3048,4.97E-09,4.35E-05,-2.04E-07,-1.79E-03,6.86E-05,5.99E-01,7.44E-05,0.676903883,0.000133091,5.97E-05,8.14E-02,648000000,2.53E-05,40442.16096,652347.5065,17936658.84,1.88E-06,0.000109915,0.000114375
l3w120h40h40h40h0s50E8000GL600GT150,3,120,40,40,0,0,40,50,8000,600,150,459094.0302,5887.930122,233334.5749,32492.5099,1.129333506,785693207.5,4047976.843,37438231.42,39123069.01,1.232545732,8.91E-05,1.01603208,1.42E-06,1.62E-02,6.26E-05,0.714001024,1.60E-07,1.62E-02,1.26E-06,1.44E-02,8.66E-05,1.222247173,3.38E-07,4.77E-03,3.75E-05,0.5288,2.18E-09,3.08E-05,-3.05E-08,-4.31E-04,6.05E-05,8.55E-01,4.63E-05,0.527622567,8.92E-05,6.97E-05,3.09E-01,648000000,3.15E-05,28771.40342,2022953.086,31741677.4,2.29E-05,8.77E-05,7.08E-05
